2026-03-28 20:14:42,498 - [INFO] - ACTION: Task Undo | DETAIL: Task ID: 842b02a4733cb73086095ad0d5efbcad | RESULT: Success
2026-03-28 20:14:45,666 - [INFO] - ACTION: Task Completed | DETAIL: Task ID: 842b02a4733cb73086095ad0d5efbcad | RESULT: Success
2026-03-28 20:17:59,534 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:17:59,534 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:18:02,289 - [INFO] - ACTION: Fetch Tasks | DETAIL: Retrieved 51 events from Moodle | RESULT: Success
2026-03-28 20:18:02,800 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:18:02,954 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via ADB | RESULT: Success
2026-03-28 20:18:03,849 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:18:03,991 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via ADB | RESULT: Success
2026-03-28 20:18:05,071 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:18:05,072 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:18:06,331 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:18:06,331 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:18:07,596 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:18:07,596 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:19:10,972 - [INFO] - ACTION: Fetch Tasks | DETAIL: Retrieved 51 events from Moodle | RESULT: Success
2026-03-28 20:19:13,440 - [INFO] - ACTION: Task Undo | DETAIL: Task ID: 842b02a4733cb73086095ad0d5efbcad | RESULT: Success
2026-03-28 20:19:15,927 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:19:15,927 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:21:54,690 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: refresh | RESULT: Success
2026-03-28 20:21:54,782 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending refresh to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:21:54,782 - [INFO] - ACTION: Refresh | DETAIL: Sent refresh command to all displays | RESULT: Success
2026-03-28 20:21:56,365 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:21:56,420 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:21:56,420 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:21:58,102 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:21:58,248 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via Wi-Fi | RESULT: Success
2026-03-28 20:21:58,981 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_screen | RESULT: Success
2026-03-28 20:21:59,211 - [INFO] - ACTION: Toggle Screen | DETAIL: Power button pressed via Wi-Fi | RESULT: Success
2026-03-28 20:22:00,331 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:22:00,336 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:22:00,336 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:22:00,702 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:22:00,710 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:22:00,710 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:22:00,883 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:22:00,892 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:22:00,892 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:22:01,046 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:22:01,055 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:22:01,055 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:22:01,218 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:22:01,231 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:22:01,231 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:22:01,303 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:22:01,309 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:22:01,309 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:22:01,464 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:22:01,542 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sending toggle_theme to 0 displays | RESULT: Failed (No displays connected)
2026-03-28 20:22:01,542 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
